Date,IRX_yield
2004-04,0.9520000219345093
2004-05,1.0520000457763672
2004-06,1.3029999732971191
2004-07,1.4119999408721924
2004-08,1.5679999589920044
2004-09,1.6740000247955322
2004-10,1.8669999837875366
2004-11,2.181999921798706
2004-12,2.181999921798706
2005-01,2.421999931335449
2005-02,2.690000057220459
2005-03,2.7219998836517334
2005-04,2.8369998931884766
2005-05,2.881999969482422
2005-06,3.059999942779541
2005-07,3.3320000171661377
2005-08,3.430000066757202
2005-09,3.4700000286102295
2005-10,3.805000066757202
2005-11,3.8570001125335693
2005-12,3.984999895095825
2006-01,4.369999885559082
2006-02,4.506999969482422
2006-03,4.514999866485596
2006-04,4.650000095367432
2006-05,4.715000152587891
2006-06,4.860000133514404
2006-07,4.934999942779541
2006-08,4.90500020980835
2006-09,4.760000228881836
2006-10,4.940000057220459
2006-11,4.889999866485596
2006-12,4.885000228881836
2007-01,4.974999904632568
2007-02,4.994999885559082
2007-03,4.894999980926514
2007-04,4.724999904632568
2007-05,4.590000152587891
2007-06,4.670000076293945
2007-07,4.809999942779541
2007-08,3.990000009536743
2007-09,3.700000047683716
2007-10,3.819999933242798
2007-11,3.069999933242798
2007-12,3.140000104904175
2008-01,1.8700000047683716
2008-02,1.784999966621399
2008-03,1.274999976158142
2008-04,1.340000033378601
2008-05,1.850000023841858
2008-06,1.7050000429153442
2008-07,1.6349999904632568
2008-08,1.690000057220459
2008-09,0.8999999761581421
2008-10,0.4350000023841858
2008-11,0.019999999552965164
2008-12,0.11500000208616257
2009-01,0.2199999988079071
2009-02,0.25
2009-03,0.20000000298023224
2009-04,0.125
2009-05,0.12999999523162842
2009-06,0.18000000715255737
2009-07,0.17499999701976776
2009-08,0.12999999523162842
2009-09,0.11500000208616257
2009-10,0.04500000178813934
2009-11,0.05000000074505806
2009-12,0.05000000074505806
2010-01,0.07000000029802322
2010-02,0.11500000208616257
2010-03,0.15000000596046448
2010-04,0.1550000011920929
2010-05,0.15000000596046448
2010-06,0.17000000178813934
2010-07,0.14000000059604645
2010-08,0.13500000536441803
2010-09,0.1550000011920929
2010-10,0.10999999940395355
2010-11,0.1599999964237213
2010-12,0.11500000208616257
2011-01,0.14499999582767487
2011-02,0.13500000536441803
2011-03,0.09000000357627869
2011-04,0.03999999910593033
2011-05,0.03999999910593033
2011-06,0.014999999664723873
2011-07,0.09000000357627869
2011-08,0.014999999664723873
2011-09,0.009999999776482582
2011-10,0.004999999888241291
2011-11,0.014999999664723873
2011-12,0.004999999888241291
2012-01,0.054999999701976776
2012-02,0.07500000298023224
2012-03,0.06499999761581421
2012-04,0.09000000357627869
2012-05,0.05999999865889549
2012-06,0.07999999821186066
2012-07,0.10000000149011612
2012-08,0.08500000089406967
2012-09,0.09000000357627869
2012-10,0.10499999672174454
2012-11,0.07500000298023224
2012-12,0.03500000014901161
2013-01,0.06499999761581421
2013-02,0.10000000149011612
2013-03,0.06499999761581421
2013-04,0.04500000178813934
2013-05,0.029999999329447746
2013-06,0.029999999329447746
2013-07,0.029999999329447746
2013-08,0.019999999552965164
2013-09,0.004999999888241291
2013-10,0.032999999821186066
2013-11,0.054999999701976776
2013-12,0.06300000101327896
2014-01,0.009999999776482582
2014-02,0.0430000014603138
2014-03,0.02800000086426735
2014-04,0.019999999552965164
2014-05,0.029999999329447746
2014-06,0.019999999552965164
2014-07,0.017999999225139618
2014-08,0.017999999225139618
2014-09,0.013000000268220901
2014-10,0.003000000026077032
2014-11,0.004999999888241291
2014-12,0.03700000047683716
2015-01,0.004999999888241291
2015-02,0.00800000037997961
2015-03,0.02500000037252903
2015-04,0.004999999888241291
2015-05,0.003000000026077032
2015-06,0.009999999776482582
2015-07,0.057999998331069946
2015-08,0.003000000026077032
2015-09,0.004999999888241291
2015-10,0.06800000369548798
2015-11,0.17000000178813934
2015-12,0.14800000190734863
2016-01,0.30000001192092896
2016-02,0.30799999833106995
2016-03,0.19300000369548798
2016-04,0.19300000369548798
2016-05,0.28299999237060547
2016-06,0.24799999594688416
2016-07,0.23999999463558197
2016-08,0.3199999928474426
2016-09,0.25999999046325684
2016-10,0.29499998688697815
2016-11,0.46799999475479126
2016-12,0.47999998927116394
2017-01,0.5
2017-02,0.5230000019073486
2017-03,0.7379999756813049
2017-04,0.7799999713897705
2017-05,0.949999988079071
2017-06,0.9929999709129333
2017-07,1.0529999732971191
2017-08,0.9779999852180481
2017-09,1.027999997138977
2017-10,1.1230000257492065
2017-11,1.2380000352859497
2017-12,1.3550000190734863
2018-01,1.4299999475479126
2018-02,1.6180000305175781
2018-03,1.6699999570846558
2018-04,1.7630000114440918
2018-05,1.8700000047683716
2018-06,1.8799999952316284
2018-07,1.9850000143051147
2018-08,2.055000066757202
2018-09,2.1500000953674316
2018-10,2.2780001163482666
2018-11,2.308000087738037
